Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Transaction_Count_per_Contact,Loyal_Customer,Creditworthiness,Cr_Util_Rate
0,2,0,1,2,2,3,0,2,5,2,0,20979.0,1800,19179.0,0.906,1178,27,0.929,0.086,13.5,1,3.33667000333667,0.0858000858000858
1,3,1,0,1,1,1,0,3,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0.0,5.333333333333333,1,13.905304873809358,0.0
0,1,0,3,0,1,2,0,1,4,2,1,4470.0,680,3790.0,1.608,931,18,1.571,0.152,18.0,0,11.185682326621924,0.15212527964205816
0,2,1,4,1,0,1,0,2,3,3,2,2492.0,1560,932.0,0.573,1126,23,0.353,0.626,11.5,1,8.025682182985554,0.6260032102728732
0,2,0,2,1,1,4,0,2,4,2,3,12217.0,0,12217.0,1.075,1110,21,0.75,0.0,10.5,1,8.185315543914218,0.0
0,1,1,3,1,0,1,0,1,6,1,2,7768.0,1669,6099.0,0.797,1051,22,0.833,0.215,22.0,0,2.5746652935118433,0.21485581874356333
0,3,0,1,0,1,2,0,3,4,1,2,14784.0,1374,13410.0,0.921,1197,23,1.3,0.093,7.666666666666667,1,3.382034632034632,0.0929383116883117
0,3,0,1,1,1,3,0,3,3,3,2,10215.0,1010,9205.0,0.843,1904,40,1.0,0.099,13.333333333333334,1,6.852667645619188,0.09887420460107685
0,1,1,3,0,0,2,0,1,5,2,2,10100.0,0,10100.0,0.525,1052,18,1.571,0.0,18.0,0,4.9504950495049505,0.0
0,2,0,4,0,1,2,0,2,6,0,0,4785.0,1362,3423.0,0.739,1045,38,0.9,0.285,19.0,1,10.449320794148381,0.2846394984326019
0,2,0,3,1,1,4,0,1,3,2,3,2753.0,1811,942.0,0.977,1038,25,2.571,0.658,25.0,0,36.32401017072285,0.6578278241917908
0,2,0,2,0,1,3,0,3,2,5,1,2451.0,1690,761.0,1.323,1596,26,1.6,0.69,8.666666666666666,0,28.559771521827827,0.689514483884129
0,1,0,4,1,1,3,0,2,4,1,2,8923.0,2517,6406.0,1.726,1589,24,1.667,0.282,12.0,1,7.844895214613919,0.2820800179311891
0,2,1,2,1,1,1,0,2,5,2,3,2650.0,1490,1160.0,1.75,1411,28,1.0,0.562,14.0,1,7.547169811320755,0.5622641509433962
0,3,0,0,1,1,4,0,3,6,2,2,12555.0,1696,10859.0,0.519,1291,24,0.714,0.135,8.0,1,7.964954201513342,0.13508562325766627
0,3,1,1,1,0,1,0,2,4,2,1,3520.0,1914,1606.0,0.51,1407,43,0.483,0.544,21.5,1,5.681818181818182,0.54375
0,3,1,3,1,1,1,0,2,6,2,3,3035.0,2298,737.0,1.724,1877,37,1.176,0.757,18.5,1,6.589785831960461,0.757166392092257
0,1,1,4,0,1,1,2,2,2,3,3,15433.0,0,15433.0,0.865,966,22,1.2,0.0,11.0,1,1.2959243180198277,0.0
0,3,1,1,1,1,2,0,3,3,3,2,3672.0,886,2786.0,1.32,1464,28,0.556,0.241,9.333333333333334,1,13.616557734204793,0.24128540305010893
1,4,1,0,2,1,2,0,3,5,4,3,7882.0,605,7277.0,1.052,704,16,0.143,0.077,5.333333333333333,0,6.3435676224308555,0.07675716823141335
0,2,0,3,1,0,4,0,2,2,2,2,32426.0,578,31848.0,1.042,1109,28,0.474,0.018,14.0,1,3.0839449824215137,0.017825201998396347
0,2,0,2,1,1,2,0,2,4,1,0,6205.0,2204,4001.0,0.803,1347,28,0.556,0.355,14.0,1,8.058017727639001,0.35519742143432714
0,2,1,1,1,0,2,1,2,3,2,3,17304.0,2517,14787.0,1.449,1756,33,1.2,0.145,16.5,1,2.8895053166897826,0.14545769764216365
0,2,0,3,0,1,3,0,2,5,2,1,3906.0,0,3906.0,1.214,1756,32,1.0,0.0,16.0,1,17.921146953405017,0.0
0,1,1,4,1,0,2,0,1,2,3,3,9830.0,2055,7775.0,0.977,1042,23,0.917,0.209,23.0,0,5.0864699898270604,0.20905391658189218
0,2,0,4,0,0,4,0,1,3,2,3,34516.0,0,34516.0,1.621,1444,28,1.333,0.0,28.0,0,2.897207092362962,0.0
0,3,0,2,2,1,3,0,2,6,2,0,2283.0,1430,853.0,2.316,1741,27,0.588,0.626,13.5,1,30.661410424879545,0.6263688129653964
0,3,0,1,2,1,2,0,3,3,2,2,2548.0,2020,528.0,2.357,1719,27,1.7,0.793,9.0,1,19.623233908948194,0.792778649921507
0,2,0,3,0,1,4,0,2,4,3,3,19458.0,1435,18023.0,0.787,1217,27,0.8,0.074,13.5,1,5.139274334463973,0.07374858669955803
0,2,0,1,1,0,4,0,2,5,1,1,4745.0,1227,3518.0,0.624,1140,40,0.6,0.259,20.0,1,21.07481559536354,0.2585879873551106
0,2,1,3,1,1,1,0,2,6,3,2,2622.0,1549,1073.0,1.321,1878,30,1.143,0.591,15.0,1,7.627765064836003,0.5907704042715485
1,2,1,1,1,1,1,0,2,2,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562,9.5,1,13.905304873809358,0.561774316901898
0,4,1,0,0,1,1,0,3,3,4,2,3171.0,2179,992.0,1.224,1946,38,1.923,0.687,12.666666666666666,0,6.30715862503942,0.6871649321980448
0,2,0,2,1,1,5,0,2,4,2,0,19763.0,2517,17246.0,0.664,1414,35,0.25,0.127,17.5,1,6.577948692000202,0.12735920659818853
1,3,0,2,1,1,5,0,2,1,3,3,15769.0,0,15769.0,1.041,602,15,0.364,0.0,7.5,1,8.244023083264633,0.0
0,2,1,4,1,1,1,0,2,6,4,2,3298.0,2200,1098.0,0.678,1052,32,0.6,0.667,16.0,0,6.064281382656155,0.667070952092177
0,2,1,3,1,0,1,0,2,2,2,0,2802.0,2363,439.0,0.75,1295,40,0.6,0.843,20.0,1,7.137758743754461,0.8433261955745895
0,3,0,2,0,1,2,0,3,4,2,3,4458.0,1880,2578.0,1.107,1424,29,1.417,0.422,9.666666666666666,1,11.215791834903545,0.4217137729923733
0,1,1,5,1,1,2,0,1,4,1,2,6273.0,978,5295.0,2.275,1359,25,1.083,0.156,25.0,0,7.970667941973537,0.1559062649450024
0,1,0,2,0,0,3,0,1,4,4,3,3336.0,1753,1583.0,0.69,1168,27,1.25,0.525,27.0,0,20.983213429256594,0.5254796163069544
0,3,0,3,1,1,4,0,3,4,2,3,3436.0,2016,1420.0,0.901,1097,33,0.833,0.587,11.0,1,29.10360884749709,0.5867287543655413
1,2,0,2,1,1,3,1,1,2,4,4,34516.0,0,34516.0,0.763,691,15,0.5,0.0,15.0,0,2.0280449646540735,0.0
0,1,0,1,0,2,3,0,1,5,3,3,5926.0,1251,4675.0,0.944,1316,28,1.154,0.211,28.0,0,11.81235234559568,0.21110361120485993
0,1,0,4,1,0,5,0,1,2,4,2,23957.0,2102,21855.0,0.997,1276,26,0.733,0.088,26.0,0,5.4263889468631294,0.08774053512543306
0,2,0,2,0,0,5,0,2,4,2,2,14734.0,1634,13100.0,0.989,1289,23,0.917,0.111,11.5,1,8.823130175105199,0.11089995927786073
0,2,0,4,0,0,4,1,2,4,1,4,34516.0,1515,33001.0,0.592,1293,32,0.6,0.044,16.0,1,2.897207092362962,0.043892687449298876
0,3,0,2,1,1,3,0,3,5,3,3,6584.0,1817,4767.0,0.62,1353,35,0.667,0.276,11.666666666666666,1,10.6318347509113,0.27597205346294046
0,1,1,2,0,0,1,0,0,6,3,3,2084.0,1468,616.0,1.004,1132,28,0.556,0.704,0.0,0,9.596928982725528,0.7044145873320538
0,2,0,2,1,1,3,0,1,2,2,2,1687.0,1107,580.0,1.715,1670,17,2.4,0.656,17.0,0,41.49377593360996,0.6561944279786603
0,2,0,2,2,1,4,0,2,6,2,2,25300.0,1330,23970.0,1.072,837,15,2.0,0.053,7.5,1,3.952569169960474,0.05256916996047431
0,2,0,4,1,0,5,0,2,3,2,3,34516.0,1763,32753.0,1.266,1550,41,1.05,0.051,20.5,1,3.7663692200718506,0.051077761038359024
0,3,1,2,1,1,1,0,2,5,3,3,2216.0,1034,1182.0,0.758,1540,36,0.286,0.467,18.0,1,9.025270758122744,0.4666064981949459
0,2,0,1,1,1,3,0,2,4,2,3,2910.0,2030,880.0,0.769,1256,21,0.4,0.698,10.5,1,24.054982817869416,0.697594501718213
0,1,0,5,0,1,4,0,2,6,2,2,22913.0,1528,21385.0,0.414,1394,35,0.522,0.067,17.5,1,4.364334657181512,0.06668703356173351
0,1,0,1,1,0,3,0,1,3,3,3,24312.0,1932,22380.0,1.312,1341,24,1.182,0.079,24.0,0,2.879236590983876,0.07946692991115499
0,2,0,2,1,0,4,0,2,5,3,2,5272.0,1515,3757.0,0.857,1289,33,0.435,0.287,16.5,1,18.96813353566009,0.28736722306525037
0,1,1,4,1,0,1,0,2,6,4,2,7000.0,2517,4483.0,0.475,1112,23,1.875,0.36,11.5,0,2.857142857142857,0.3595714285714286
0,1,1,3,0,0,1,0,1,4,4,2,7038.0,1801,5237.0,0.751,2339,57,0.966,0.256,57.0,0,2.841716396703609,0.25589656152316
0,2,0,3,1,2,3,0,1,6,1,2,2536.0,1823,713.0,0.703,1468,23,0.353,0.719,23.0,0,27.602523659305994,0.7188485804416404
0,2,0,2,1,1,4,0,2,6,3,2,28904.0,1899,27005.0,0.85,1334,35,0.4,0.066,17.5,1,3.4597287572654305,0.06570024910047052
0,2,0,3,1,1,3,0,2,4,4,0,8567.0,1695,6872.0,1.242,1457,41,1.412,0.198,20.5,0,8.170888292284348,0.19785222364888524
0,1,0,1,1,1,5,0,2,6,2,2,34516.0,1533,32983.0,0.924,1603,29,0.526,0.044,14.5,1,3.7663692200718506,0.04441418472592421
1,3,1,4,1,1,2,0,2,2,4,3,2158.0,0,2158.0,0.585,615,12,0.714,0.0,6.0,0,23.169601482854496,0.0
0,3,1,1,1,1,2,0,3,2,3,3,10133.0,1417,8716.0,0.383,1068,20,0.818,0.14,6.666666666666667,1,4.934372841211882,0.13984012631994475
0,2,0,1,1,2,4,0,1,5,4,2,34516.0,1219,33297.0,1.129,1590,27,2.0,0.035,27.0,0,2.897207092362962,0.035316954455904506
0,2,0,2,1,1,3,0,3,5,3,0,3085.0,1910,1175.0,0.921,1531,35,0.667,0.619,11.666666666666666,1,22.690437601296598,0.6191247974068071
0,2,0,2,0,0,5,0,1,4,2,1,19040.0,2056,16984.0,0.607,1212,31,0.722,0.108,31.0,0,6.8277310924369745,0.10798319327731093
0,1,1,3,0,0,1,0,1,5,2,3,4026.0,0,4026.0,0.483,1237,32,0.6,0.0,32.0,0,4.967709885742672,0.0
0,1,0,3,0,0,3,0,1,4,3,1,12756.0,837,11919.0,1.932,1413,14,1.8,0.066,14.0,0,5.487613671997491,0.06561618062088428
0,3,0,2,1,1,5,0,2,5,3,3,5266.0,0,5266.0,1.702,1516,29,1.636,0.0,14.5,1,24.68666919863274,0.0
0,2,1,2,0,0,1,0,2,3,2,2,9930.0,0,9930.0,0.731,1276,21,1.333,0.0,10.5,1,2.014098690835851,0.0
0,2,0,4,0,0,4,0,2,4,3,0,31302.0,1953,29349.0,0.875,1564,35,2.182,0.062,17.5,1,3.1946840457478753,0.06239217941345601
0,2,0,1,1,0,2,0,2,4,4,3,6576.0,0,6576.0,0.579,1465,34,0.619,0.0,17.0,0,7.603406326034063,0.0
0,2,0,0,1,0,4,0,2,5,4,1,2664.0,2037,627.0,0.85,1286,29,0.933,0.765,14.5,0,37.53753753753754,0.7646396396396397
0,2,1,3,1,1,2,0,1,5,1,2,2535.0,2440,95.0,1.705,1312,20,1.222,0.963,20.0,0,19.723865877712033,0.9625246548323472
0,3,0,1,1,1,1,0,3,6,4,3,1709.0,895,814.0,1.656,1673,32,0.882,0.524,10.666666666666666,0,11.702750146284377,0.5236980690462258
0,2,0,3,1,1,2,0,1,5,4,2,3454.0,1200,2254.0,0.597,1313,30,0.304,0.347,30.0,0,14.475969889982629,0.3474232773595831
0,2,0,3,2,1,2,0,1,5,3,2,3789.0,1706,2083.0,1.047,1609,42,0.68,0.45,42.0,0,13.196093956188967,0.4502507257851676
0,3,0,3,1,1,5,0,3,3,2,0,9689.0,2250,7439.0,0.576,1158,19,0.727,0.232,6.333333333333333,1,13.41727732480132,0.23222210754463826
1,2,0,2,1,1,4,0,2,2,3,3,5449.0,1628,3821.0,0.696,836,18,0.385,0.299,9.0,1,18.351991191044227,0.29877041659020004
0,2,1,3,1,0,2,0,2,4,4,0,23032.0,1960,21072.0,0.619,1289,22,1.0,0.085,11.0,0,2.1708926710663423,0.08509899270580062
0,1,1,3,1,1,2,1,1,5,3,3,34516.0,2053,32463.0,1.034,1487,26,0.733,0.059,26.0,0,1.448603546181481,0.05947966160621161
0,2,0,3,1,1,5,0,1,6,2,2,2940.0,1264,1676.0,0.562,1259,33,0.5,0.43,33.0,0,44.21768707482993,0.42993197278911566
0,1,1,2,1,0,1,0,1,3,3,3,3031.0,1879,1152.0,0.788,1298,15,1.5,0.62,15.0,0,6.598482349059716,0.6199274166941603
0,1,0,3,0,1,3,0,0,3,3,0,1862.0,0,1862.0,0.883,1226,34,0.789,0.0,0.0,0,37.59398496240601,0.0
0,1,1,4,1,1,1,0,1,2,3,3,8358.0,926,7432.0,0.762,1566,37,0.542,0.111,37.0,0,2.3929169657812874,0.1107920555156736
0,2,0,2,1,0,5,0,2,6,1,2,34516.0,931,33585.0,0.828,1022,21,1.1,0.027,10.5,1,3.7663692200718506,0.02697299802989918
0,1,0,1,0,1,3,0,2,5,2,3,14450.0,2440,12010.0,1.283,1235,30,0.667,0.169,15.0,1,4.844290657439446,0.16885813148788928
0,3,1,1,1,1,1,0,3,6,0,0,1438.3,0,1438.3,0.813,1951,44,1.095,0.0,14.666666666666666,1,13.905304873809358,0.0
0,2,0,4,1,2,5,0,2,6,3,2,33791.0,1960,31831.0,0.618,1047,31,0.824,0.058,15.5,1,3.8471782427273533,0.058003610428812406
0,3,0,4,1,1,3,0,2,4,3,0,8466.0,1886,6580.0,0.56,1342,32,0.391,0.223,16.0,1,8.268367587999055,0.22277344672808883
0,1,0,3,1,1,3,0,2,5,3,3,15088.0,865,14223.0,0.939,1107,21,1.625,0.057,10.5,1,4.639448568398728,0.05733032873806999
0,1,0,4,0,2,3,0,2,5,1,2,3263.0,1674,1589.0,0.588,1251,35,0.346,0.513,17.5,1,21.452650934722648,0.5130248237817959
0,2,1,0,0,1,1,0,2,2,2,2,1494.0,706,788.0,1.674,1305,24,3.0,0.473,12.0,1,13.386880856760374,0.4725568942436412
0,2,0,3,1,0,4,0,1,6,1,0,13551.0,1294,12257.0,0.791,1388,37,1.056,0.095,37.0,0,7.379529186037931,0.09549110766733082
0,2,0,1,1,0,4,0,2,6,2,2,18886.0,895,17991.0,1.826,1235,18,1.571,0.047,9.0,1,5.294927459493805,0.04738960076246956
0,2,0,3,0,1,4,0,3,3,2,0,11976.0,1273,10703.0,1.024,2089,36,1.118,0.106,12.0,1,8.3500334001336,0.10629592518370073
0,2,0,3,0,0,4,0,2,4,1,4,9964.0,1559,8405.0,1.873,1626,25,0.786,0.156,12.5,1,10.036130068245685,0.15646326776395023
0,2,0,1,2,1,3,0,2,4,6,3,24159.0,1196,22963.0,0.712,1111,24,1.0,0.05,12.0,0,2.8974709218096777,0.049505360321205345
0,2,1,2,0,1,1,0,2,3,2,3,5362.0,1901,3461.0,0.816,1553,38,1.0,0.355,19.0,1,3.729951510630362,0.3545318910854159
0,2,0,2,1,0,5,0,2,3,2,2,34516.0,1023,33493.0,1.004,1064,13,0.625,0.03,6.5,1,3.7663692200718506,0.029638428554873104
0,3,1,1,2,1,1,0,2,4,1,0,3174.0,1951,1223.0,0.766,1243,29,0.611,0.615,14.5,1,6.30119722747322,0.6146817895400126
0,2,0,1,0,1,4,0,3,3,2,2,12262.0,1836,10426.0,1.584,1659,38,1.533,0.15,12.666666666666666,1,8.155276463872125,0.14973087587669223
0,2,1,3,0,0,2,0,2,4,3,3,3788.0,1540,2248.0,0.566,1594,47,0.382,0.407,23.5,1,13.199577613516368,0.4065469904963041
0,3,0,2,1,0,5,1,2,2,3,2,34516.0,1527,32989.0,0.526,1268,42,0.355,0.044,21.0,1,3.7663692200718506,0.04424035230038243
0,2,0,3,1,0,3,0,2,4,2,2,2926.0,0,2926.0,0.676,1304,24,0.846,0.0,12.0,1,23.923444976076556,0.0
0,3,0,4,1,0,5,0,3,6,1,0,32090.0,0,32090.0,0.567,1368,30,0.364,0.0,10.0,1,4.051106263633531,0.0
1,2,0,2,1,1,4,0,2,3,3,2,11669.0,2227,9442.0,0.622,720,23,0.353,0.191,11.5,1,8.56971462850287,0.19084754477675894
0,2,0,2,0,0,2,0,2,3,1,2,13532.0,1300,12232.0,0.846,1521,29,1.417,0.096,14.5,1,3.694945314809341,0.09606857818504286
0,2,1,1,0,1,1,1,2,4,2,2,11888.0,2090,9798.0,0.7,1137,30,0.765,0.176,15.0,1,1.6823687752355316,0.17580753701211305
0,1,1,1,1,1,1,0,2,5,1,2,2393.0,1985,408.0,0.788,978,16,0.778,0.83,8.0,1,8.357709987463435,0.8295027162557459
0,1,0,4,1,1,2,0,2,5,1,2,6111.0,2517,3594.0,0.632,1221,16,2.2,0.412,8.0,1,8.181966944853542,0.4118802160039273
0,3,0,4,1,1,4,0,3,3,2,3,19270.0,1662,17608.0,1.186,1565,28,1.545,0.086,9.333333333333334,1,5.1894135962636225,0.0862480539699014
0,2,0,1,1,1,4,0,2,3,1,4,3710.0,2517,1193.0,1.541,1578,34,0.7,0.678,17.0,1,26.954177897574123,0.6784366576819407
0,2,0,2,2,0,1,0,2,2,1,3,3235.0,797,2438.0,0.541,1493,32,1.0,0.246,16.0,1,6.182380216383308,0.2463678516228748
0,1,1,3,1,0,2,0,2,3,1,0,11749.0,788,10961.0,0.688,1178,27,0.929,0.067,13.5,1,4.255681334581666,0.06706953783300706
0,2,0,2,0,2,3,0,2,5,3,2,7753.0,2100,5653.0,0.839,991,26,0.733,0.271,13.0,1,9.028763059460854,0.2708628917838256
0,2,0,4,1,2,3,0,2,5,1,0,10408.0,1186,9222.0,1.689,2560,42,1.211,0.114,21.0,1,6.725595695618755,0.11395080707148347
0,3,1,1,1,1,2,0,2,6,2,3,3967.0,1568,2399.0,1.236,1657,29,1.231,0.395,14.5,1,12.603982858583313,0.3952609024451727
0,1,1,2,1,0,1,0,1,4,2,2,6205.0,2517,3688.0,0.939,1204,19,0.727,0.406,19.0,0,3.2232070910556003,0.4056406124093473
1,2,1,5,0,1,1,0,2,1,3,3,8025.0,0,8025.0,0.654,673,18,0.8,0.0,9.0,1,2.4922118380062304,0.0
0,2,0,1,1,0,5,0,2,6,2,3,9036.0,2327,6709.0,0.649,1131,18,0.636,0.258,9.0,1,14.38689685701638,0.25752545374059316
0,2,0,4,1,1,4,0,1,2,3,2,14926.0,2517,12409.0,1.996,1576,25,1.5,0.169,25.0,0,6.699718611818303,0.1686319174594667
0,3,1,1,1,0,1,0,2,3,2,3,6335.0,1128,5207.0,0.397,1217,20,0.667,0.178,10.0,1,3.1570639305445933,0.17805840568271508
1,3,0,1,1,0,3,0,3,2,3,3,14979.0,0,14979.0,0.71,530,10,1.0,0.0,3.3333333333333335,1,4.673209159489953,0.0
1,2,1,4,0,1,1,0,2,3,2,3,2732.0,0,2732.0,0.76,739,16,0.455,0.0,8.0,1,7.320644216691069,0.0
0,1,1,2,1,0,1,0,1,6,3,2,2250.0,2117,133.0,1.162,1617,31,2.875,0.941,31.0,0,8.88888888888889,0.9408888888888889
0,3,0,2,1,1,5,0,3,3,2,0,10916.0,1536,9380.0,1.317,1592,34,1.0,0.141,11.333333333333334,1,11.909124221326493,0.14071088310736535
0,2,1,4,1,1,2,0,2,4,1,3,5349.0,1228,4121.0,0.728,1343,30,1.308,0.23,15.0,1,9.347541596560104,0.22957562161151618
0,1,0,2,0,1,4,0,0,4,1,3,9366.0,1104,8262.0,0.572,1303,39,0.625,0.118,0.0,0,10.676916506512919,0.11787315823190263
0,1,0,3,0,0,4,0,1,5,1,0,21617.0,0,21617.0,1.047,1351,22,0.467,0.0,22.0,0,4.625988805107092,0.0
0,4,0,1,1,1,2,0,3,5,2,3,13860.0,1652,12208.0,1.255,1910,32,1.909,0.119,10.666666666666666,1,3.6075036075036073,0.1191919191919192
0,2,1,1,1,0,2,1,1,2,2,3,18386.0,0,18386.0,0.868,1298,22,0.571,0.0,22.0,0,2.7194604590449254,0.0
0,2,0,4,0,0,3,0,2,6,2,2,2405.0,1540,865.0,0.469,1087,29,1.231,0.64,14.5,1,29.106029106029105,0.6403326403326404
0,2,1,1,1,1,1,0,3,4,2,3,2154.0,930,1224.0,2.121,1439,26,1.364,0.432,8.666666666666666,1,9.285051067780874,0.43175487465181056
0,1,1,5,1,1,2,0,2,3,3,3,2038.0,0,2038.0,0.786,1238,28,0.75,0.0,14.0,1,24.53385672227674,0.0
0,2,1,4,0,0,2,0,2,6,1,3,8135.0,0,8135.0,1.373,1716,29,0.812,0.0,14.5,1,6.146281499692686,0.0
0,2,0,1,2,1,5,0,2,6,1,3,9364.0,618,8746.0,0.554,1099,27,0.8,0.066,13.5,1,13.882956001708672,0.06599743699273815
0,1,1,2,0,1,2,1,1,4,3,2,32643.0,0,32643.0,1.3,1058,24,2.429,0.0,24.0,0,1.5317219618294886,0.0
0,1,1,4,1,2,1,0,1,2,3,1,3195.0,1954,1241.0,0.971,1285,29,0.706,0.612,29.0,0,6.259780907668231,0.6115805946791862
0,3,0,0,0,1,4,0,2,5,2,1,2852.0,1024,1828.0,1.009,1651,28,1.0,0.359,14.0,1,35.06311360448808,0.3590462833099579
0,3,1,1,1,0,2,0,2,2,3,3,4224.0,1305,2919.0,0.852,1152,31,0.824,0.309,15.5,1,11.837121212121213,0.30894886363636365
0,2,0,1,0,1,3,0,2,3,2,2,20459.0,2071,18388.0,1.248,1767,38,2.167,0.101,19.0,1,3.4214771005425484,0.10122684393176597
0,2,1,4,1,2,1,0,2,6,5,3,3482.0,2114,1368.0,0.508,1039,24,0.263,0.607,12.0,0,5.743825387708213,0.6071223434807582
0,2,1,4,0,1,2,0,2,5,2,3,3065.0,1570,1495.0,1.077,1130,28,1.333,0.512,14.0,1,16.31321370309951,0.5122349102773246
0,2,1,3,0,1,1,0,2,3,1,2,2185.0,1761,424.0,0.682,1645,30,0.429,0.806,15.0,1,9.153318077803204,0.8059496567505721
0,2,1,3,0,1,1,0,2,4,1,0,1611.0,746,865.0,0.993,1413,29,0.706,0.463,14.5,1,12.414649286157665,0.46306641837368095
0,3,1,4,0,1,1,0,3,3,3,3,2822.0,2173,649.0,1.456,1218,23,2.286,0.77,7.666666666666667,1,7.087172218284905,0.7700212615166548
1,2,0,5,1,0,4,0,1,6,3,3,32975.0,2517,30458.0,0.658,597,17,0.7,0.076,17.0,0,3.0326004548900682,0.07633055344958302
0,2,0,3,0,1,3,0,3,5,2,2,1438.3,0,1438.3,0.776,2184,53,0.828,0.0,17.666666666666668,1,48.668567058332755,0.0
0,2,1,4,0,2,2,0,2,4,3,3,15875.0,1719,14156.0,0.86,1592,37,1.467,0.108,18.5,1,3.1496062992125986,0.10828346456692914
0,2,1,1,0,1,1,0,2,6,3,3,6703.0,893,5810.0,0.567,1388,28,0.75,0.133,14.0,1,2.9837386244964943,0.13322392958376847
1,2,0,2,1,1,4,0,2,2,2,1,3212.0,0,3212.0,0.713,757,20,0.25,0.0,10.0,1,31.133250311332503,0.0
0,2,0,2,0,1,4,1,2,3,1,3,34516.0,1260,33256.0,0.588,1504,34,0.789,0.037,17.0,1,2.897207092362962,0.03650480936377332
0,1,1,3,0,1,2,0,2,4,1,2,9797.0,1434,8363.0,0.644,1503,34,0.478,0.146,17.0,1,5.103603143819536,0.14637133816474432
0,2,1,5,1,2,2,0,2,5,2,2,10400.0,1777,8623.0,0.791,1105,28,0.867,0.171,14.0,1,4.8076923076923075,0.1708653846153846
