,client_id,activity,frequency,monetary,activity_score,monetary_score,frequency_score,AFM_score,segment
100,714778833,8,0,1289,3,1,1,13,at risk
101,713843283,9,3,1487,3,1,3,33,need_attention
102,779155158,10,2,1259,4,1,1,14,at risk
103,721091583,9,3,1298,3,1,3,33,need_attention
104,713572683,9,0,1226,3,1,1,13,at risk
105,716657058,9,3,1566,3,1,3,33,need_attention
106,779509983,11,2,1022,4,1,1,14,at risk
107,717929133,10,3,1235,4,1,3,34,loyal_customers
108,808284783,12,0,1951,5,2,1,15,cant_loose
109,708476808,9,2,1047,3,1,1,13,at risk
110,710916408,9,0,1342,3,1,1,13,at risk
111,708492558,9,3,1107,3,1,3,33,need_attention
112,799825758,11,2,1251,4,1,1,14,at risk
113,718619883,10,2,1305,4,1,1,14,at risk
114,711844758,11,0,1388,4,1,1,14,at risk
115,714798783,10,2,1235,4,1,1,14,at risk
116,826762908,10,0,2089,4,2,1,14,at risk
117,771894558,11,4,1626,4,1,5,54,champions
118,721074183,6,3,1111,1,1,3,31,about_to_sleep
119,715259583,10,3,1553,4,1,3,34,loyal_customers
120,718414008,10,2,1064,4,1,1,14,at risk
121,719666283,11,0,1243,4,1,1,14,at risk
122,714877233,10,2,1659,4,1,1,14,at risk
123,785387883,9,3,1594,3,1,3,33,need_attention
124,771075258,9,2,1268,3,1,1,13,at risk
125,711318033,10,2,1304,4,1,1,14,at risk
126,783554958,11,0,1368,4,1,1,14,at risk
127,720201033,9,2,720,3,1,1,13,at risk
128,718039683,11,2,1521,4,1,1,14,at risk
129,710806083,10,2,1137,4,1,1,14,at risk
130,714752208,11,2,978,4,1,1,14,at risk
131,822063408,11,2,1221,4,1,1,14,at risk
132,714490308,10,3,1565,4,1,3,34,loyal_customers
133,713356833,11,4,1578,4,1,5,54,champions
134,711402333,11,3,1493,4,1,3,34,loyal_customers
135,708296883,11,0,1178,4,1,1,14,at risk
136,719154483,9,2,991,3,1,1,13,at risk
137,717721458,11,0,2560,4,2,1,14,at risk
138,711112683,10,3,1657,4,1,3,34,loyal_customers
139,715674483,10,2,1204,4,1,1,14,at risk
140,789322833,9,3,673,3,1,3,33,need_attention
141,789968058,10,3,1131,4,1,3,34,loyal_customers
142,709919283,9,2,1576,3,1,1,13,at risk
143,718744008,10,3,1217,4,1,3,34,loyal_customers
144,767712558,9,3,530,3,1,3,33,need_attention
145,712950783,10,3,739,4,1,3,34,loyal_customers
146,716104983,9,2,1617,3,1,1,13,at risk
147,818839983,10,0,1592,4,1,1,14,at risk
148,772288758,11,3,1343,4,1,3,34,loyal_customers
149,712350858,11,3,1303,4,1,3,34,loyal_customers
150,711009708,11,0,1351,4,1,1,14,at risk
151,712720158,10,3,1910,4,1,3,34,loyal_customers
152,712215258,10,3,1298,4,1,3,34,loyal_customers
153,773827008,10,2,1087,4,1,1,14,at risk
154,795232683,10,3,1439,4,1,3,34,loyal_customers
155,713786508,9,3,1238,3,1,3,33,need_attention
156,713539833,11,3,1716,4,1,3,34,loyal_customers
157,712454058,11,3,1099,4,1,3,34,loyal_customers
158,718759833,9,2,1058,3,1,1,13,at risk
159,718803333,9,1,1285,3,1,1,13,at risk
160,720253908,10,1,1651,4,1,1,14,at risk
161,714133158,9,3,1152,3,1,3,33,need_attention
162,713187033,10,2,1767,4,1,1,14,at risk
163,714791208,7,3,1039,2,1,3,32,about_to_sleep
164,772426383,10,3,1130,4,1,3,34,loyal_customers
165,710975883,11,2,1645,4,1,1,14,at risk
166,714264408,11,0,1413,4,1,1,14,at risk
167,715827858,9,3,1218,3,1,3,33,need_attention
168,713741358,9,3,597,3,1,3,33,need_attention
169,709531908,10,2,2184,4,2,1,14,at risk
170,716493408,9,3,1592,3,1,3,33,need_attention
171,714141108,9,3,1388,3,1,3,33,need_attention
172,708953883,10,1,757,4,1,1,14,at risk
173,712608783,11,3,1504,4,1,3,34,loyal_customers
174,820353558,11,2,1503,4,1,1,14,at risk
175,714964758,10,2,1105,4,1,1,14,at risk
176,716264358,11,2,2398,4,2,1,14,at risk
177,717296808,9,2,1661,3,1,1,13,at risk
178,712977183,9,0,1421,3,1,1,13,at risk
179,710829108,10,3,999,4,1,3,34,loyal_customers
180,779562633,10,1,1387,4,1,1,14,at risk
181,715315833,10,3,1243,4,1,3,34,loyal_customers
182,815500983,9,0,1860,3,1,1,13,at risk
183,719360583,10,2,1502,4,1,1,14,at risk
184,709701558,11,2,1460,4,1,1,14,at risk
185,721148358,10,1,1348,4,1,1,14,at risk
186,779862408,11,0,1087,4,1,1,14,at risk
187,812627208,11,3,1226,4,1,3,34,loyal_customers
188,711033408,11,2,1230,4,1,1,14,at risk
189,779956608,11,3,1555,4,1,3,34,loyal_customers
190,780376683,9,1,1827,3,1,1,13,at risk
191,717912483,10,0,1376,4,1,1,14,at risk
192,714454758,10,3,1771,4,1,3,34,loyal_customers
193,780466533,9,0,1873,3,1,1,13,at risk
194,715735233,11,1,1679,4,1,1,14,at risk
195,720476733,11,2,1002,4,1,1,14,at risk
196,715872333,10,3,1344,4,1,3,34,loyal_customers
197,712375758,9,1,1461,3,1,1,13,at risk
198,708868233,9,2,760,3,1,1,13,at risk
199,718030083,11,2,1428,4,1,1,14,at risk
200,720707283,9,0,1777,3,1,1,13,at risk
201,771698658,7,3,1302,2,1,3,32,about_to_sleep
202,748326258,7,3,1483,2,1,3,32,about_to_sleep
203,770817783,10,1,1060,4,1,1,14,at risk
204,779353083,10,2,1330,4,1,1,14,at risk
205,711441333,10,2,1229,4,1,1,14,at risk
206,719808558,8,3,886,3,1,3,33,need_attention
207,711551958,9,3,844,3,1,3,33,need_attention
208,809164083,11,2,1450,4,1,1,14,at risk
209,820596183,9,0,2311,3,2,1,13,at risk
210,715999608,11,2,1378,4,1,1,14,at risk
211,710565408,10,3,1033,4,1,3,34,loyal_customers
212,805543158,9,3,1523,3,1,3,33,need_attention
213,709752183,10,2,1374,4,1,1,14,at risk
214,716479233,9,2,1080,3,1,1,13,at risk
215,713837058,10,3,1234,4,1,3,34,loyal_customers
216,718876683,10,0,1600,4,1,1,14,at risk
217,770746908,11,2,1155,4,1,1,14,at risk
218,794843883,11,2,1353,4,1,1,14,at risk
219,803043933,11,3,1546,4,1,3,34,loyal_customers
220,758076408,11,3,1590,4,1,3,34,loyal_customers
221,714606558,11,0,1448,4,1,1,14,at risk
222,778425408,9,0,1271,3,1,1,13,at risk
223,714171108,10,3,1223,4,1,3,34,loyal_customers
224,719662458,10,2,1117,4,1,1,14,at risk
225,713137233,9,0,994,3,1,1,13,at risk
226,769425858,11,2,1468,4,1,1,14,at risk
227,711297483,8,2,1658,3,1,1,13,at risk
228,788900883,11,3,1368,4,1,3,34,loyal_customers
229,758348808,9,3,1218,3,1,3,33,need_attention
230,772336458,8,3,702,3,1,3,33,need_attention
231,708711483,9,0,1516,3,1,1,13,at risk
232,717906783,10,2,1310,4,1,1,14,at risk
233,719437908,10,2,1767,4,1,1,14,at risk
234,769433508,9,3,933,3,1,3,33,need_attention
235,790096533,9,2,1512,3,1,1,13,at risk
236,720997383,9,3,829,3,1,3,33,need_attention
237,787541883,9,3,1120,3,1,3,33,need_attention
238,709930758,9,3,1506,3,1,3,33,need_attention
239,789830058,11,2,1384,4,1,1,14,at risk
240,710299608,9,3,817,3,1,3,33,need_attention
241,710741208,10,2,2094,4,2,1,14,at risk
242,821797008,10,3,815,4,1,3,34,loyal_customers
243,708874533,9,2,510,3,1,1,13,at risk
244,715341858,10,3,1377,4,1,3,34,loyal_customers
245,793636308,10,2,1193,4,1,1,14,at risk
246,713779908,9,2,1287,3,1,1,13,at risk
247,712125258,9,3,701,3,1,3,33,need_attention
248,709703433,11,2,1770,4,1,1,14,at risk
249,721022433,11,2,1409,4,1,1,14,at risk
250,710103558,11,2,1354,4,1,1,14,at risk
251,715952883,9,2,1765,3,1,1,13,at risk
252,719731458,9,4,1192,3,1,5,53,potential_loyalists
253,772390908,8,3,687,3,1,3,33,need_attention
254,787348608,10,3,1227,4,1,3,34,loyal_customers
255,709485033,9,3,1737,3,1,3,33,need_attention
256,715432608,11,0,1348,4,1,1,14,at risk
257,799471833,10,2,1435,4,1,1,14,at risk
258,714187533,9,0,1321,3,1,1,13,at risk
259,779656908,9,2,1479,3,1,1,13,at risk
260,788950158,10,3,1283,4,1,3,34,loyal_customers
261,778867533,8,1,689,3,1,1,13,at risk
262,710620383,9,2,965,3,1,1,13,at risk
263,778661358,9,2,1541,3,1,1,13,at risk
264,789483333,11,3,1258,4,1,3,34,loyal_customers
265,809855808,10,2,1339,4,1,1,14,at risk
266,718464258,10,2,1007,4,1,1,14,at risk
267,708528483,9,2,1387,3,1,1,13,at risk
268,771809733,9,3,960,3,1,3,33,need_attention
269,719942883,9,3,1119,3,1,3,33,need_attention
270,807226683,11,3,1642,4,1,3,34,loyal_customers
271,717806133,9,0,1382,3,1,1,13,at risk
272,720615708,10,2,1232,4,1,1,14,at risk
273,714511758,9,0,1542,3,1,1,13,at risk
274,715050408,9,3,1094,3,1,3,33,need_attention
275,721132233,10,2,1217,4,1,1,14,at risk
276,719211558,11,2,744,4,1,1,14,at risk
277,712069008,10,0,1614,4,1,1,14,at risk
278,715996983,10,2,1747,4,1,1,14,at risk
279,773466258,11,3,1144,4,1,3,34,loyal_customers
280,798983508,9,2,1575,3,1,1,13,at risk
281,719117433,9,0,1463,3,1,1,13,at risk
282,716451183,10,3,1706,4,1,3,34,loyal_customers
283,718621608,9,1,909,3,1,1,13,at risk
284,715085733,11,2,2434,4,2,1,14,at risk
285,788977833,11,0,1876,4,1,1,14,at risk
286,720272958,9,3,1000,3,1,3,33,need_attention
287,708421833,9,2,1139,3,1,1,13,at risk
288,709173108,10,2,799,4,1,1,14,at risk
289,709879458,10,3,1881,4,1,3,34,loyal_customers
290,715120608,9,2,1273,3,1,1,13,at risk
291,770632758,9,2,1328,3,1,1,13,at risk
292,779078733,8,3,1579,3,1,3,33,need_attention
293,771742533,11,2,937,4,1,1,14,at risk
294,720250158,9,0,1749,3,1,1,13,at risk
295,716458983,11,3,1424,4,1,3,34,loyal_customers
296,713747733,9,2,2011,3,2,1,13,at risk
297,712270158,10,3,1208,4,1,3,34,loyal_customers
298,789562383,9,0,1259,3,1,1,13,at risk
299,754897008,9,2,1319,3,1,1,13,at risk
300,819700533,10,3,949,4,1,3,34,loyal_customers
301,712890408,9,2,1338,3,1,1,13,at risk
302,720248208,9,0,1554,3,1,1,13,at risk
303,779749908,10,3,1350,4,1,3,34,loyal_customers
304,717401883,10,2,1694,4,1,1,14,at risk
305,721509558,9,0,1678,3,1,1,13,at risk
306,710572458,11,1,2069,4,2,1,14,at risk
307,714576183,9,2,1222,3,1,1,13,at risk
308,721425558,9,2,1536,3,1,1,13,at risk
309,711109908,11,1,1400,4,1,1,14,at risk
310,715203108,10,2,1050,4,1,1,14,at risk
311,710027508,10,0,1389,4,1,1,14,at risk
312,787464408,10,2,1184,4,1,1,14,at risk
313,783542133,6,2,2093,1,2,1,11,hibernating
314,708330858,9,3,678,3,1,3,33,need_attention
315,714426783,9,2,1467,3,1,1,13,at risk
316,712701333,9,2,1219,3,1,1,13,at risk
317,709494483,10,1,1730,4,1,1,14,at risk
318,773373108,10,0,1025,4,1,1,14,at risk
319,715812258,7,2,1165,2,1,1,12,hibernating
320,778286433,10,1,2133,4,2,1,14,at risk
321,789270033,10,3,1122,4,1,3,34,loyal_customers
322,711569433,11,2,1083,4,1,1,14,at risk
323,720214833,9,3,1234,3,1,3,33,need_attention
324,709346133,9,0,1277,3,1,1,13,at risk
325,788194458,9,3,1843,3,1,3,33,need_attention
326,720779733,10,2,1747,4,1,1,14,at risk
327,717424458,9,2,1166,3,1,1,13,at risk
328,708820308,10,2,1326,4,1,1,14,at risk
329,710558058,9,3,1619,3,1,3,33,need_attention
330,770590758,10,0,1285,4,1,1,14,at risk
331,718490658,11,3,1142,4,1,3,34,loyal_customers
332,711985833,11,0,1190,4,1,1,14,at risk
333,708967608,11,2,1052,4,1,2,24,at risk
334,718505958,9,3,1628,3,1,3,33,need_attention
335,715024233,9,2,1740,3,1,2,23,at risk
336,779249583,9,3,1378,3,1,3,33,need_attention
337,709278258,9,2,996,3,1,2,23,at risk
338,778928283,10,1,1389,4,1,1,14,at risk
339,712299858,9,3,1365,3,1,3,33,need_attention
340,799224108,11,2,1715,4,1,2,24,at risk
341,809976033,9,0,1582,3,1,1,13,at risk
342,716203308,9,3,1220,3,1,3,33,need_attention
343,714871683,8,3,715,3,1,3,33,need_attention
344,716139933,11,2,2552,4,2,2,24,at risk
345,716984658,10,3,1106,4,1,3,34,loyal_customers
346,713086008,11,0,1731,4,1,1,14,at risk
347,713773458,9,2,1435,3,1,2,23,at risk
348,719242533,9,3,1882,3,1,3,33,need_attention
349,772712658,11,2,2058,4,2,2,24,at risk
350,788868858,8,2,1658,3,1,2,23,at risk
351,811898133,11,3,1334,4,1,3,34,loyal_customers
352,788808633,9,2,1441,3,1,2,23,at risk
353,779804208,10,0,1371,4,1,1,14,at risk
354,781391058,9,2,1991,3,2,2,23,at risk
355,790134408,10,3,1278,4,1,3,34,loyal_customers
356,788853258,10,0,1734,4,1,1,14,at risk
357,711857733,10,2,1330,4,1,2,24,at risk
358,822969858,11,3,1787,4,1,3,34,loyal_customers
359,719554758,9,2,1672,3,1,2,23,at risk
360,711643458,9,4,1439,3,1,5,53,potential_loyalists
361,788830683,11,0,1558,4,1,1,14,at risk
362,807030858,9,3,1795,3,1,3,33,need_attention
363,793059108,10,3,893,4,1,3,34,loyal_customers
364,716568708,9,2,1099,3,1,2,23,at risk
365,828281733,9,3,1408,3,1,3,33,need_attention
366,717229158,9,3,1893,3,1,3,33,need_attention
367,715915458,10,2,1151,4,1,2,24,at risk
368,819129858,9,0,1519,3,1,1,13,at risk
369,713441958,9,2,1245,3,1,2,23,at risk
370,719091333,9,2,1102,3,1,2,23,at risk
371,708666258,9,0,1402,3,1,1,13,at risk
372,714914583,10,3,1060,4,1,3,34,loyal_customers
373,714363858,7,3,1459,2,1,3,32,about_to_sleep
374,721347408,10,0,1456,4,1,1,14,at risk
375,809608533,9,2,1439,3,1,2,23,at risk
376,772047183,9,3,1353,3,1,3,33,need_attention
377,714217908,9,2,1173,3,1,2,23,at risk
378,714819183,10,3,1746,4,1,3,34,loyal_customers
379,716455683,10,3,1279,4,1,3,34,loyal_customers
380,710865633,10,0,1307,4,1,1,14,at risk
381,752952108,10,3,1473,4,1,3,34,loyal_customers
382,712595433,10,3,1805,4,1,3,34,loyal_customers
383,714982383,9,3,1421,3,1,3,33,need_attention
384,813814008,9,2,1272,3,1,2,23,at risk
385,794545983,10,3,1409,4,1,3,34,loyal_customers
386,708288108,7,3,647,2,1,3,32,about_to_sleep
387,715585158,9,2,1275,3,1,2,23,at risk
388,810449883,11,0,1270,4,1,1,14,at risk
389,789863208,10,3,1702,4,1,3,34,loyal_customers
390,715022133,10,2,1256,4,1,2,24,at risk
391,712506708,11,2,3178,4,2,2,24,at risk
392,715699983,11,3,1626,4,1,3,34,loyal_customers
393,818942433,11,1,1562,4,1,1,14,at risk
394,712459233,9,3,1960,3,2,3,33,need_attention
395,716545383,11,0,1154,4,1,1,14,at risk
396,721144383,11,2,1629,4,1,2,24,at risk
397,821837958,9,1,1226,3,1,1,13,at risk
398,804359133,9,3,1743,3,1,3,33,need_attention
399,713308683,10,2,1139,4,1,2,24,at risk
400,788780958,9,3,1073,3,1,3,33,need_attention
401,717354558,9,3,683,3,1,3,33,need_attention
402,798473808,9,0,1159,3,1,1,13,at risk
403,712372158,11,3,1859,4,1,3,34,loyal_customers
404,715192308,7,2,1205,2,1,2,22,hibernating
405,708813033,9,0,1409,3,1,1,13,at risk
406,714639783,9,3,1000,3,1,3,33,need_attention
407,709311633,10,0,1209,4,1,1,14,at risk
408,709470858,10,1,1366,4,1,1,14,at risk
409,717292758,9,2,1161,3,1,2,23,at risk
410,779241783,9,2,1512,3,1,2,23,at risk
411,715205358,11,1,1750,4,1,1,14,at risk
412,778871508,9,0,1170,3,1,1,13,at risk
413,779462433,9,1,2218,3,2,1,13,at risk
414,710147958,10,2,1198,4,1,2,24,at risk
415,709864833,10,0,1329,4,1,1,14,at risk
416,778868958,9,3,857,3,1,3,33,need_attention
417,717276708,9,2,1470,3,1,2,23,at risk
418,710004933,9,2,1435,3,1,2,23,at risk
419,753606108,11,3,1093,4,1,3,34,loyal_customers
420,710940183,9,2,715,3,1,2,23,at risk
421,718927533,10,2,1512,4,1,2,24,at risk
422,719337408,10,3,2399,4,2,3,34,loyal_customers
423,772308408,9,3,906,3,1,3,33,need_attention
424,712981383,10,2,1052,4,1,2,24,at risk
425,790099758,9,3,975,3,1,3,33,need_attention
426,709547658,9,3,783,3,1,3,33,need_attention
427,778770783,11,0,990,4,1,1,14,at risk
428,713134458,11,1,1097,4,1,1,14,at risk
429,712159083,9,3,901,3,1,3,33,need_attention
430,713639958,9,1,1327,3,1,1,13,at risk
431,771180033,11,2,1814,4,1,2,24,at risk
432,717916758,9,3,1365,3,1,3,33,need_attention
433,711089733,9,0,1058,3,1,1,13,at risk
434,716988633,11,2,1476,4,1,2,24,at risk
435,779031033,11,3,1230,4,1,3,34,loyal_customers
436,716302383,11,3,1581,4,1,3,34,loyal_customers
437,718281408,11,2,1534,4,1,2,24,at risk
438,721333233,10,3,1612,4,1,3,34,loyal_customers
439,794496033,11,3,1302,4,1,3,34,loyal_customers
440,710519433,11,0,1439,4,1,1,14,at risk
441,814995933,9,2,1724,3,1,2,23,at risk
442,721469433,10,3,1784,4,1,3,34,loyal_customers
443,788386908,10,2,1156,4,1,2,24,at risk
444,717198633,10,1,2556,4,2,1,14,at risk
445,767695083,9,0,1590,3,1,1,13,at risk
446,711791583,10,2,884,4,1,2,24,at risk
447,712315683,11,1,973,4,1,1,14,at risk
448,710038008,10,1,1447,4,1,1,14,at risk
449,789129033,9,2,1150,3,1,2,23,at risk
450,718349058,9,2,1193,3,1,2,23,at risk
451,789842283,9,2,706,3,1,2,23,at risk
452,714513033,11,3,1257,4,1,3,34,loyal_customers
453,714717483,11,2,1303,4,1,2,24,at risk
454,714900408,11,0,1306,4,1,1,14,at risk
455,719418933,9,3,748,3,1,3,33,need_attention
456,720115683,10,2,1774,4,1,2,24,at risk
457,779504058,11,1,1209,4,1,1,14,at risk
458,795979833,11,2,1074,4,1,2,24,at risk
459,717392358,10,2,1786,4,1,2,24,at risk
460,718640508,11,2,1456,4,1,2,24,at risk
461,803366358,10,1,1300,4,1,1,14,at risk
462,709230708,10,2,1470,4,1,2,24,at risk
463,781794708,11,3,715,4,1,3,34,loyal_customers
464,801383808,10,3,1198,4,1,3,34,loyal_customers
465,710677608,10,0,1556,4,1,1,14,at risk
466,708217758,10,3,1606,4,1,3,34,loyal_customers
467,714272658,9,2,929,3,1,2,23,at risk
468,717469158,9,0,1606,3,1,1,13,at risk
469,711864783,9,2,1199,3,1,2,23,at risk
470,719407983,9,2,2400,3,2,2,23,at risk
471,710665533,10,2,1337,4,1,2,24,at risk
472,716804283,10,2,1270,4,1,2,24,at risk
473,767294658,10,3,654,4,1,3,34,loyal_customers
474,709122483,9,0,1909,3,1,1,13,at risk
475,708241233,9,2,922,3,1,2,23,at risk
476,717860358,9,2,1158,3,1,2,23,at risk
477,789337233,6,2,1323,1,1,2,21,hibernating
478,720902133,11,0,1025,4,1,1,14,at risk
479,721043058,11,3,1700,4,1,3,34,loyal_customers
480,711870333,9,3,1628,3,1,3,33,need_attention
481,708398283,10,2,1377,4,1,2,24,at risk
482,715878183,9,3,1517,3,1,3,33,need_attention
483,719451483,9,2,1528,3,1,2,23,at risk
484,709110633,11,3,1329,4,1,3,34,loyal_customers
485,721059033,11,2,1505,4,1,2,24,at risk
486,779912283,9,2,1172,3,1,2,23,at risk
487,717701733,10,2,1646,4,1,2,24,at risk
488,709913733,10,0,1693,4,1,1,14,at risk
489,718768158,11,2,1336,4,1,2,24,at risk
490,721375308,11,3,1289,4,1,3,34,loyal_customers
491,711374283,11,0,1416,4,1,1,14,at risk
492,822893133,11,2,1608,4,1,2,24,at risk
493,778465533,11,2,1885,4,1,2,24,at risk
494,712138983,9,2,1744,3,1,2,23,at risk
495,716920908,11,0,1922,4,2,1,14,at risk
496,708095133,10,2,1448,4,1,2,24,at risk
497,711195558,9,3,1300,3,1,3,33,need_attention
498,772735758,10,0,1366,4,1,1,14,at risk
499,712024908,10,3,1439,4,1,3,34,loyal_customers
500,778239933,9,0,1241,3,1,1,13,at risk
501,714893733,9,3,1917,3,2,3,33,need_attention
502,754886958,11,3,1391,4,1,3,34,loyal_customers
503,710104908,11,0,1246,4,1,1,14,at risk
504,710558883,9,2,1248,3,1,2,23,at risk
505,713827383,10,0,1936,4,2,1,14,at risk
506,720267033,9,2,2375,3,2,2,23,at risk
507,712049208,11,2,1238,4,1,2,24,at risk
508,708688608,9,1,1626,3,1,1,13,at risk
509,716223708,9,3,791,3,1,3,33,need_attention
510,713217858,9,3,1204,3,1,3,33,need_attention
511,819352983,10,2,1300,4,1,2,24,at risk
512,711019308,10,0,1612,4,1,1,14,at risk
513,768600558,10,3,1071,4,1,3,34,loyal_customers
514,710202783,9,3,1378,3,1,3,33,need_attention
515,712899333,10,2,1100,4,1,2,24,at risk
516,767036433,11,0,2052,4,2,1,14,at risk
517,793473033,10,3,1349,4,1,3,34,loyal_customers
518,721232058,11,3,1215,4,1,3,34,loyal_customers
519,719443683,10,3,1149,4,1,3,34,loyal_customers
520,715449333,10,0,2354,4,2,1,14,at risk
521,717998058,9,2,2644,3,2,2,23,at risk
522,779610033,9,3,918,3,1,3,33,need_attention
523,827332983,10,2,1362,4,1,2,24,at risk
524,721183983,9,1,1222,3,1,1,13,at risk
525,718426533,11,2,1364,4,1,2,24,at risk
526,710698233,11,2,1463,4,1,2,24,at risk
527,780253533,9,0,1631,3,1,1,13,at risk
528,793581933,9,4,1878,3,1,5,53,potential_loyalists
529,719229708,9,2,1489,3,1,2,23,at risk
530,715158483,10,3,1437,4,1,3,34,loyal_customers
531,809296308,10,0,1313,4,1,1,14,at risk
532,778176108,10,2,1290,4,1,2,24,at risk
533,796532958,9,2,1975,3,2,2,23,at risk
534,709345008,10,3,807,4,1,3,34,loyal_customers
535,717049533,9,0,1438,3,1,1,13,at risk
536,719366358,9,2,1233,3,1,2,23,at risk
537,721417233,7,3,709,2,1,3,32,about_to_sleep
538,711622683,9,3,1597,3,1,3,33,need_attention
539,714578283,9,0,1283,3,1,1,13,at risk
540,769574883,11,3,1101,4,1,3,34,loyal_customers
